name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A133.T,A134.T,A140.T,A144.T,A152.T,A133.N,A134.N,A140.N,A144.N,A152.N
ENSG00000269190,FBXO17,725,724,1,0.002,-9.2,1.1e-8,2e-4,0,0,553,676,582,504,1305,0,2,0,2,1
ENSG00000115232,ITGA4,9899,765.2,9133.8,11.929,3.6,1.1e-8,2e-4,0,0,531,1037,936,708,614,8964,6295,9823,10666,9921
ENSG00000110900,TSPAN11,557,556.4,0.6,0.001,-9.5,1.1e-8,2e-4,0,0,711,498,306,668,599,0,2,1,0,0
ENSG00000088256,GNA11,2339.4,2137.8,201.6,0.094,-3.4,1.1e-8,2e-4,0,0,2032,1814,1652,2722,2469,140,276,179,195,218
ENSG00000142949,PTPRF,21031.6,20999,32.6,0.002,-9.3,1.2e-8,2e-4,0,0,8291,10573,28233,23174,34724,19,30,59,39,16
ENSG00000121068,TBX2,2473.8,2473.6,0.2,0,-12.8,1.2e-8,2e-4,0,0,5393,3003,1859,884,1229,0,0,0,1,0
ENSG00000173762,CD7,4152.6,430.6,3722,8.64,3.1,1.2e-8,2e-4,0,0,501,425,419,382,426,4583,3253,4746,3699,2329
ENSG00000096968,JAK2,3675.8,633,3042.8,4.805,2.3,1.2e-8,2e-4,0,0,548,658,667,708,584,2914,2521,2969,2982,3828
ENSG00000074219,TEAD2,1667.4,1605,62.4,0.039,-4.7,1.2e-8,2e-4,0,0,1541,1611,2106,779,1988,47,84,72,48,61
ENSG00000062038,CDH3,2859.6,2857.8,1.8,0.001,-10.4,1.2e-8,2e-4,0,0,967,1537,2542,5768,3475,2,0,2,3,2
ENSG00000163909,HEYL,723.2,718.2,5,0.007,-7.1,1.2e-8,2e-4,0,0,1189,824,837,333,408,6,4,3,5,7
ENSG00000122176,FMOD,3431.8,3431.6,0.2,0,-13.3,1.2e-8,2e-4,0,0,5620,6148,2830,1092,1468,0,0,0,0,1
ENSG00000182704,TSKU,4165.2,4164.4,0.8,0,-12,1.2e-8,2e-4,0,0,1401,2663,6136,8336,2286,1,1,0,2,0
ENSG00000118898,PPL,3146.4,3136,10.4,0.003,-8.2,1.2e-8,2e-4,0,0,2188,1114,2580,4907,4891,7,18,13,9,5
ENSG00000159212,CLIC6,980.6,970.4,10.2,0.011,-6.5,1.2e-8,2e-4,0,0,1226,922,624,706,1374,13,10,18,5,5
ENSG00000125266,EFNB2,1009.6,1005.8,3.8,0.004,-8,1.3e-8,3e-4,0,0,1101,1058,794,1279,797,4,2,4,9,0
ENSG00000137203,TFAP2A,1220,1219.4,0.6,0.001,-10.6,1.4e-8,3e-4,0,0,487,865,655,2120,1970,0,0,1,1,1
ENSG00000189337,KAZN,843.8,838,5.8,0.007,-7.1,1.4e-8,3e-4,0,0,1040,641,905,1022,582,1,11,7,8,2
ENSG00000130702,LAMA5,16886.8,16640.2,246.6,0.015,-6.1,1.4e-8,3e-4,0,0,13078,9086,29425,12161,19451,125,270,319,244,275
ENSG00000111676,ATN1,10713.6,8575.2,2138.4,0.249,-2,1.4e-8,3e-4,0,0,8464,7540,9017,10149,7706,2116,2066,2171,2352,1987
ENSG00000101871,MID1,1265.4,1263,2.4,0.002,-8.9,1.5e-8,3e-4,0,0,1070,558,863,1772,2052,2,2,3,0,5
ENSG00000185633,NDUFA4L2,3082.4,3076.4,6,0.002,-9,1.5e-8,3e-4,0,0,1321,1147,3104,6519,3291,6,8,4,5,7
ENSG00000159403,C1R,12396,12332.2,63.8,0.005,-7.6,1.5e-8,3e-4,0,0,21955,15935,11004,7470,5297,68,86,80,58,27
ENSG00000104413,ESRP1,2718.6,2718,0.6,0,-11.7,1.5e-8,3e-4,0,0,734,1519,3739,3361,4237,0,2,0,1,0
ENSG00000114554,PLXNA1,8671.8,8075.2,596.6,0.074,-3.8,1.5e-8,3e-4,0,0,4295,8070,8948,11800,7263,491,596,688,588,620
