protein,gene,A115,A116,A133,A134,A140,A144,A152,A113,A114,A118,A120,A136,A137,A139,A141,A143,A146,A147,A153,A117,A142,A148
AT1A2,ATP1A2,2015300,5676000,3783100,8316100,3776200,2939700,5097700,4019100,5383300,3000500,2429300,4466500,5016400,2506900,5005100,2356300,5250800,4844400,3463400,4918000,6116800,19716000
VP33A,VPS33A,505940,642380,545840,2416500,3451100,1243400,1121500,1908700,1093400,1057200,394090,565750,609720,925450,871240,577800,1499600,1037600,1332400,1080400,1563100,736560
COR1C,CORO1C,8334300,8628200,17717000,20084000,27886000,34813000,38324000,15669000,34103000,24359000,6949900,16105000,12494000,10190000,18822000,7774300,31992000,24578000,16783000,20996000,13285000,46263000
UBC9,UBE2I,54923000,57455000,51310000,39168000,67560000,96092000,106740000,27891000,61488000,71747000,13932000,16768000,21637000,6675200,94725000,16546000,144680000,141140000,65823000,66686000,39791000,70509000
HGS,HGS,5578400,7465000,5532900,6987600,6203600,12004000,10876000,6448100,6181400,6136700,3933000,3466300,3885900,930760,3892900,3734300,18252000,15440000,6110600,3889000,4180700,12782000
RBMX,RBMX,3424000,4119900,945240,3638300,5689200,3105800,5289700,3205200,228990,2124400,327740,5519800,978960,5559200,1969600,1350800,2148400,1265900,2367700,2003900,1729400,4238600
LAMA5,LAMA5,1422800,5913700,2680800,3087900,3217900,4464100,7718900,1215700,9784000,7776500,330580,3497000,1596000,3560600,5176100,3951900,5268700,2730600,5056800,2381900,2802000,890060
SPF27,BCAS2,3353900,6256800,8677100,7665300,11588000,8922100,12149000,5765200,5761000,9232200,2326000,5204700,4162500,5697000,9354300,2609700,11490000,18069000,5295900,8621000,6306400,12799000
NELFD,NELFCD,3801200,1763300,7477700,4121400,13659000,4374900,2640400,3488600,5308800,7607400,2805000,5599800,4828500,2357900,1346600,3766000,4003800,6186300,5112900,4094800,3441700,7214400
CHDH,CHDH,189930,970540,1766400,2646100,2502700,3176900,3692100,2703300,2211100,2249900,219590,282580,NA,2289100,2624900,764270,659550,1264200,190470,1012600,1784400,3581900
ABR,ABR,4119600,7310400,8686100,4072900,7522100,5783200,4413400,8243000,4779300,3721100,2496700,3203200,2656200,2628900,11544000,2697200,15654000,12640000,4132200,8858600,10170000,10426000
FKB15,FKBP15,19085000,12507000,18871000,20845000,12848000,11247000,15212000,7352300,6443200,18529000,7585300,7355500,5786100,3391500,9205000,4326800,14615000,34992000,12905000,25017000,15194000,30672000
