protein,gene,A136_T,A137_T,A139_T,A141_T,A143_T,A146_T,A147_T,A148_T,A153_T,A136_N,A137_N,A139_N,A141_N,A143_N,A146_N,A147_N,A148_N,A153_N
RPIA,RPIA,2816700,1240600,3857200,2451800,9527000,3763800,6343600,3575700,10471000,2969600,8077100,3640600,4111300,5697600,7365100,2974300,2970300,4553700
USE1,USE1,2508800,247540,1979000,325450,2001700,671010,1007300,2196800,1921300,1884400,762700,1056000,2838400,2449900,1153100,4689300,459430,2597100
GAMT,GAMT,1880200,1057500,6948900,1777200,230430,4758300,7389600,977890,12292000,2070000,448220,5618300,5588600,NA,209950,4900200,5352700,1906400
SH3L2,SH3BGRL2,2132100,270840,1108600,1164600,5410800,1120500,1876500,799370,2749400,2209000,2097100,2346400,3092700,3215900,1057300,2899400,2887700,3023800
PSMD9,PSMD9,14759000,8164900,22305000,10362000,43885000,18149000,25566000,30080000,44177000,13150000,9906400,30796000,40515000,29462000,5373100,26576000,41209000,12432000
TMT1A,TMT1A,30823000,14666000,152000000,71372000,35116000,184910000,92568000,117860000,136760000,58837000,23232000,146470000,86671000,149510000,39024000,98488000,107840000,95130000
MTDC,MTHFD2,2261800,970740,3038600,590500,3192000,975300,2394000,3125200,5871500,2463400,2424800,7718100,2114100,646320,865470,3411200,3794100,2990100
CYTC,CST3,4915700,12229000,13300000,288080,250440,9967700,7590800,10612000,4244900,4978900,3055600,20872000,11900000,12750000,4396800,13129000,11196000,5974200
PLCC,AGPAT3,2002000,11239000,2941200,1228500,2342100,1989100,3961900,3290200,9640300,873830,3787200,2728400,967440,3336800,6979700,4124100,2361900,2407000
LAGE3,LAGE3,1565500,447580,3047800,1119100,2818000,2526200,4311000,3038800,4121400,1843600,551330,3762700,3114100,3864600,2037600,4273800,6783500,2978400
LEG10,CLC,16543000,1651500,30751000,20254000,39056000,26204000,5740300,145950,55674000,16767000,8402100,1846300,6154700,34571000,NA,15718000,35875000,23894000
CX7A1,COX7A1,1315800,248150,268610,562660,1388000,2524800,821550,608380,907610,1502800,379990,1919100,2021700,796620,525720,2290300,1661800,947720
KV401,IGKV4-1,558470,1766500,1931300,NA,264890,2939100,964130,2418900,3597800,1641800,1787400,3711700,4173200,848210,996660,3110400,2152600,1571400
THIK,ACAA1,25849000,15135000,25750000,18622000,48757000,22936000,53109000,41051000,79645000,23326000,11924000,27773000,28197000,67506000,10720000,99204000,42758000,31290000
NDUS6,NDUFS6,2817300,1314400,6233500,2328300,1083700,3011000,1693700,3548800,4748500,3662100,1954600,NA,1433600,1406000,250080,6317700,2121100,2287500
SNW1,SNW1,8699800,1034700,7159600,2099000,9799500,4586700,2215900,6261000,5875500,9854200,5812700,753890,8838900,6412300,6341300,10726000,2608300,14452000
SEPT5,SEPTIN5,739780,4888700,5057700,1100800,2002800,3626400,1250600,3895100,3824200,971700,4674300,4823700,5439300,2094900,10756000,2055200,2967100,2591100
