protein,gene,A136_T,A137_T,A139_T,A141_T,A143_T,A146_T,A147_T,A148_T,A153_T,A136_N,A137_N,A139_N,A141_N,A143_N,A146_N,A147_N,A148_N,A153_N
PPM1B,PPM1B,2160900,3076700,12501000,2272600,9847000,5590700,6592000,10327000,18669000,3165000,2293500,8599700,5772900,7970800,1725500,11039000,7565700,6303900
TS101,TSG101,3931500,2297200,9415600,3007100,13483000,3577400,6482200,5553100,16152000,4511500,1546200,5581100,6566000,5037100,1659100,11718000,7613100,4736900
ICAM1,ICAM1,54219000,49784000,81786000,18708000,275490000,78421000,102220000,57291000,403310000,67381000,33856000,196960000,58188000,138230000,42996000,161200000,91095000,69797000
GBG12,GNG12,21072000,9494600,56119000,13610000,11103000,40719000,28124000,28812000,48533000,34786000,1540200,56798000,61394000,40474000,12469000,40498000,56931000,30978000
CASP8,CASP8,1488400,1384500,5031900,1780200,17515000,2344700,5571000,2270100,20929000,2805500,36975,4702800,6687700,2223000,753710,2539000,7114200,4369300
PCP,PRCP,5790800,8616600,27966000,8282700,36389000,17563000,9685700,15220000,17737000,9377600,2008900,5141900,17919000,14469000,3353100,31898000,17346000,11730000
NASP,NASP,16079000,35267000,16728000,6538200,90365000,14961000,36107000,34215000,41041000,2655100,9576500,13968000,26741000,10967000,11370000,16032000,19217000,8771700
HACD3,HACD3,17277000,13734000,48162000,11040000,61151000,33882000,44960000,31863000,86888000,26687000,12794000,17389000,36345000,32385000,10409000,62430000,41068000,30022000
PURA,PURA,13590000,7673900,52518000,9461300,26618000,26008000,31495000,37502000,43544000,13968000,7621800,22609000,16279000,22858000,9013500,41846000,33518000,24161000
ELOB,ELOB,42986000,18627000,47830000,24085000,106720000,38678000,58120000,70284000,125770000,17215000,9656600,39029000,35530000,46877000,10578000,50633000,43237000,32688000
S10A9,S100A9,15964000,383770000,16055000,52687000,21214000,14591000,11037000,13194000,4443400,17009000,6380300,7563900,46409000,11009000,8754000,29286000,18014000,23157000
TXD12,TXNDC12,11228000,4568200,23259000,10734000,45811000,15507000,23634000,29908000,36278000,7861500,2166900,28677000,15199000,25531000,6115100,33283000,23486000,13249000
ITPA,ITPA,16169000,35779000,80380000,14002000,151580000,38029000,51175000,46626000,97218000,65035000,30016000,114070000,57238000,36175000,32160000,32482000,25578000,18705000
RCN3,RCN3,10006000,20672000,13146000,5867700,52836000,22556000,15984000,40376000,47105000,15112000,2306200,37414000,43941000,18948000,8351400,6249100,28382000,16484000
IFIT1,IFIT1,3666400,967910,1878500,309820,3190400,1387300,2698800,7781600,20570000,1378100,641100,6942600,1931300,7576200,1143300,4764400,5812500,2779500
INO1,ISYNA1,7570000,2178800,19607000,6171100,29964000,13905000,36031000,11603000,38218000,16818000,6143500,26101000,15291000,12906000,5812600,15838000,21561000,7968300
RAC2,RAC2,33632000,20499000,84013000,57285000,100110000,102900000,87360000,146530000,245960000,12980000,3159800,57015000,33452000,41246000,4869400,53949000,36199000,22238000
THTM,MPST,15918000,6956500,62172000,23494000,56396000,41919000,29838000,32231000,92809000,10753000,19722000,18056000,33571000,31383000,24042000,49218000,50001000,44453000
IF4B,EIF4B,2584200,722050,3264500,2624400,7397900,2228500,4367100,6611200,7028700,2659400,731960,2261200,2284500,6889800,1769700,3921900,5436500,2676300
PHB2,PHB2,77651000,57641000,116540000,59921000,217350000,24317000,114020000,174280000,280850000,50064000,21596000,120770000,90250000,186620000,28920000,176510000,124380000,74363000
UB2V1,UBE2V1,24888000,27219000,32181000,21270000,66230000,33347000,45992000,58755000,72930000,21292000,11663000,47710000,30982000,52600000,15022000,55557000,34490000,28724000
HNMT,HNMT,32268000,9036800,67423000,19088000,21008000,38463000,30922000,52305000,45572000,20170000,4498300,26967000,31301000,31327000,6345700,47717000,47979000,29971000
RL8,RPL8,26615000,1039400,261200000,41195000,303060000,64056000,91103000,34077000,73346000,9080100,NA,401840,9622800,10125000,1466000,28514000,8080100,2264600
DCTN3,DCTN3,3994700,4610000,4648700,3004500,NA,3835900,4914900,12292000,11039000,3981300,652030,7963900,3107700,4435900,641590,8724100,4723300,3563800
PDXD1,PDXDC1,5880800,1343700,3194300,3324600,7741500,2807500,2748000,4356700,9292600,17130000,10585000,6308700,37012000,3948000,373610,3846000,2272800,1898700
RBPMS,RBPMS,8123100,3327600,7728700,1393000,1805400,2965900,3522800,6180100,7567900,2388900,730090,6504300,6757400,10760000,1741000,11778000,10055000,3654500
PAXI,PXN,3728600,2966200,9825900,6098300,14843000,9296300,5846500,10397000,13207000,5745300,1660700,11864000,11794000,15276000,1207800,12125000,24923000,12614000
HMGCL,HMGCL,24293000,20395000,43774000,19214000,46504000,22433000,50120000,19333000,39715000,11057000,7689800,38853000,19864000,44696000,10915000,46798000,27295000,17001000
CN37,CNP,7593100,5575400,27997000,7053900,19751000,16009000,16554000,24673000,31537000,16674000,5195300,31915000,23486000,29352000,10945000,29160000,35596000,17430000
IL33,IL33,3957500,7740700,5088900,4487500,3643200,8436500,3830700,4155700,5948800,3265000,3841800,7686900,5750600,7121500,4358300,6536600,12992000,8711400
AHSA1,AHSA1,16871000,5617700,20280000,12515000,58671000,17996000,38972000,33839000,42351000,5615600,2010000,14307000,11163000,69873000,3193100,57495000,19292000,11001000
AP3S1,AP3S1,3107600,1681900,6095200,2168300,11233000,4645500,5100800,9075600,16940000,1577100,638580,704430,1446800,2578100,533180,4427600,1834200,1292200
CBPQ,CPQ,529130,191550,1829900,944220,980160,1182900,520990,1525300,1250700,1354400,240660,1321400,2356200,1449900,387480,1026700,2421700,1989500
XRN2,XRN2,6657500,10278000,5321300,5153300,23204000,13987000,13661000,20008000,30434000,5957700,1412600,16699000,12530000,16212000,1788900,21764000,14960000,9801600
PRDX3,PRDX3,160320000,85528000,252020000,101320000,608520000,189800000,245600000,283080000,499540000,118680000,47709000,293700000,206950000,365560000,65921000,363620000,260450000,183420000
CPPED,CPPED1,4483900,6606100,6209700,4271200,4141200,9822100,7773300,15956000,9867800,6813600,2903500,8197400,11039000,16444000,3122700,15454000,19837000,4068400
DECR,DECR1,92016000,18434000,125100000,46445000,100820000,76849000,125630000,134760000,187920000,46345000,18597000,110310000,65067000,148130000,21723000,154070000,88325000,62087000
P5CR3,PYCR3,3616700,98160,7127700,1395400,13856000,4657000,8650800,1657700,25083000,2320900,1782700,7083400,4363000,3066100,2456100,5147800,4966700,1921200
SPART,SPART,2835500,1847100,4673000,1451100,8853700,4865800,3510200,5208100,11749000,3292100,619880,5787000,3304500,3935400,1270200,7467000,5720500,4031300
PFD3,VBP1,10890000,7437400,14687000,6086900,21708000,15876000,5124900,6769300,18684000,1438200,413280,9904600,6779900,12135000,161490,12644000,7498800,5679800
DNJB6,DNAJB6,558440,678140,2426500,917140,6930700,2742400,2758100,1077900,3958900,1223300,279000,2039800,2573000,2814300,405930,2648300,2572000,1223500
EI2BD,EIF2B4,3972200,795260,9061000,3540300,11990000,5495400,10341000,10530000,23121000,2585500,224590,2508500,3475600,5366600,1314500,11426000,6921800,4203000
UQCC2,UQCC2,2469600,158590,3092800,522130,3556900,904400,1792000,1467200,3637500,348350,205290,1525900,1007300,1937000,110770,2208600,1116400,1151900
AP4A,NUDT2,1920200,2782000,2226700,2200900,6852300,4085000,NA,12273000,10741000,1974700,1578600,376210,4899500,2465300,1140300,2678900,6561000,2735200
GSTO1,GSTO1,85852000,75707000,71083000,81743000,171370000,162090000,125300000,197020000,249370000,130680000,69133000,123520000,175880000,298740000,115190000,259020000,208420000,164710000
AL3A1,ALDH3A1,6280500,5498000,14140000,6814700,21353000,29816000,4326000,21818000,2943700,5560000,1923700,10409000,2347000,12266000,2502100,8083600,9511900,5999900
GLPA,GYPA,18980000,3842200,6356500,5491200,6429900,7372700,10524000,8656600,661360,31180000,94046000,41322000,24350000,51038000,135000000,15797000,17170000,61567000
VPS4B,VPS4B,9805700,5925300,24065000,14696000,44859000,16024000,23664000,31498000,33592000,11023000,4920700,19317000,16093000,28764000,8251600,29680000,29122000,14119000
IGKC,IGKC,233780000,280200000,1711100000,848980000,168240000,1908600000,342450000,2326700000,1176700000,820110000,569510000,2704700000,2196400000,685850000,706290000,720540000,1771500000,1198800000
KPCA,PRKCA,2562800,602430,6922300,2796800,6992900,9890200,3586600,5883600,14641000,3173000,1255900,9415300,4415200,4614300,1268300,6771000,7013500,4718300
TMM43,TMEM43,31988000,20616000,125540000,18713000,158930000,27743000,68753000,62895000,139130000,60722000,26147000,130910000,102910000,124830000,13046000,114810000,160110000,92114000
CSN1,GPS1,7246600,3901700,12134000,6393700,20659000,8869400,11757000,12351000,24948000,4643400,2464000,13451000,11596000,8662800,6971700,17651000,13855000,6593300
UBC12,UBE2M,11011000,13440000,24132000,10992000,36832000,17372000,16934000,19503000,50763000,7696000,16514000,13713000,13139000,13012000,14457000,19871000,29316000,25608000
PRRC1,PRRC1,3578500,3014300,3592500,467230,5197200,431790,2952400,4139900,5562600,2315500,263400,8063200,6329200,294350,507050,9889900,5734700,3054700
IQEC1,IQSEC1,159230,4512200,214640,5614100,165460,373160,448860,361930,617960,10669000,5113800,374910,16965000,34215000,4594900,226090,22974000,15722000
ABC3C,APOBEC3C,6048000,1492700,3296400,981060,4880800,10914000,4047300,5239100,9276100,2472000,1448900,2106600,1873600,3858900,2038000,4227800,2196600,4212900
UCHL5,UCHL5,9470400,9194700,11161000,2798300,13258000,12927000,5000300,5978300,14306000,8088700,6169600,3389200,2473100,13929000,5337500,16676000,8994700,1794700
DC1L1,DYNC1LI1,10559000,2568500,7442300,2861200,11713000,16691000,7907000,11390000,21834000,3801200,1672400,11879000,10621000,9185400,2098100,13900000,12422000,8376200
SAP3,GM2A,3435000,4839400,9401800,3158500,14981000,16443000,26523000,20558000,3388300,5702600,2554600,12737000,12229000,44378000,4617300,46521000,8009700,7585000
ACPM,NDUFAB1,14492000,10295000,65808000,23387000,95598000,25109000,59375000,29220000,101900000,5929400,2481300,1048300,NA,11657000,5379800,5140500,8744600,14245000
SPCS1,SPCS1,1138100,544650,12102000,540860,487900,7436000,5737600,3524800,14652000,362960,NA,1461500,3249100,4541200,933940,7012100,2131900,834380
TOLIP,TOLLIP,5070700,3446400,21555000,7401000,28752000,15491000,12976000,11517000,35248000,8568600,1339200,16716000,13988000,19363000,3006500,21706000,15822000,12207000
ARL1,ARL1,5757300,1942500,8894700,3747400,10350000,4049900,6259100,7682100,13581000,865930,NA,129080000,1739900,1645100,30181000,2751500,2345900,930470
IMDH2,IMPDH2,14699000,18815000,43561000,13151000,120530000,66373000,33645000,41169000,77734000,38374000,15219000,71895000,17384000,61617000,13213000,11751000,71883000,41297000
APOA2,APOA2,32402000,44058000,24727000,62064000,23887000,47935000,19014000,35272000,39448000,45723000,51193000,8270400,54805000,22356000,62440000,22495000,40461000,104310000
RHOG,RHOG,17095000,22924000,39833000,16495000,60574000,38068000,39780000,64469000,72150000,23640000,6981500,42471000,28339000,46045000,10947000,58717000,49612000,29642000
TLE3,TLE3,135880,138680,331890,82171,316200,369660,487320,503600,650360,71734,6547900,317540,292290,4469600,44435,12037000,26556000,166050
ARL8B,ARL8B,18581000,6665600,41991000,9112200,66626000,23421000,38368000,33178000,74822000,16266000,5935600,46484000,28327000,53331000,5703400,37843000,28981000,27063000
IF4E,EIF4E,30689000,11738000,38885000,18291000,65094000,22501000,38085000,39489000,73819000,14420000,6603800,110880000,23492000,28107000,13391000,35138000,26404000,12390000
HPGDS,HPGDS,1693200,1344000,4822000,208870000,2397900,2729200,5340900,4263300,2296400,2861400,987910,4215300,2614600,4240400,479120,5652700,4621900,4470600
CADM1,CADM1,9052600,3595300,17522000,7282800,14683000,9973300,54960000,35435000,19579000,46938000,16366000,32858000,15871000,33468000,4247500,29497000,21961000,13691000
ANXA4,ANXA4,111650000,130920000,258830000,419730000,273730000,255800000,302290000,143350000,214880000,124500000,63168000,294630000,225040000,246230000,92931000,216710000,262180000,165620000
CALM2,CALM2,586640000,498680000,896050000,513980000,2129100000,848610000,1043100000,1126500000,1506200000,621960000,294660000,1327800000,780160000,975900000,291010000,1232300000,1001700000,814530000
MBNL1,MBNL1,7249200,1927400,21717000,6461600,33092000,13993000,15154000,21020000,36118000,4382000,950750,15328000,6365200,20045000,2861300,22133000,21521000,9026200
VTA1,VTA1,1220500,1722200,5471400,1758400,5042600,5058100,5270400,6085400,5803600,2883900,644490,8338900,4549200,7113700,1606200,8400500,7308500,5748700
LEG1,LGALS1,347830000,256150000,702410000,630750000,2167400000,846910000,852330000,1401700000,961190000,543560000,229880000,1152600000,973080000,951100000,255950000,1102500000,847350000,507610000
BABA1,BABAM1,1059900,723830,2332500,737700,2738400,2164900,2170300,2529100,5038600,956170,278730,2679600,2230300,2250300,614100,2618300,2568900,1481400
PEBP1,PEBP1,397730000,132110000,758980000,321290000,621260000,727390000,525230000,617220000,828990000,692780000,263590000,648830000,572550000,813820000,352440000,864150000,1111700000,805110000
PUR8,ADSL,12331000,2904300,25321000,8876200,35042000,15431000,20002000,15241000,35084000,15321000,15634000,5324000,12548000,20960000,13341000,23023000,16351000,14631000
CYTB,CSTB,436030000,375490000,448550000,456540000,751020000,645040000,741470000,711950000,1400100000,210860000,102630000,417340000,425160000,1162200000,220810000,1238600000,628220000,403160000
NDUA8,NDUFA8,10202000,5888700,23138000,7840700,18290000,13566000,10901000,3223400,22026000,1837600,1692500,372380,9322800,22776000,4454400,24714000,17350000,10250000
BRX1,BRIX1,2486200,3021600,3778700,2525100,9780300,2665200,3322600,1421600,11904000,133440,NA,10430000,7646300,1675800,86156,6107000,5402700,1511300
NRP1,NRP1,4947400,4323100,26355000,2959100,29606000,16835000,15153000,15933000,20644000,10257000,4199200,23882000,16054000,12659000,626020,21695000,15569000,5369100
PSPB,SFTPB,196610000,34309000,115500000,48309000,112700000,31614000,162460000,52370000,147270000,131420000,26997000,170930000,109170000,138650000,26596000,259610000,162840000,89925000
DRB3,HLA-DRB3,145900,736880,320190,195560,1544000,3537400,3704700,577900,1478000,325620,2384600,452170,405330,38910000,8186400,27129000,364960,9142200
C1S,C1S,21816000,34952000,26314000,24262000,35336000,37285000,39491000,67414000,49702000,31181000,21322000,26756000,29064000,32795000,20291000,36456000,36314000,38043000
PIN1,PIN1,4395200,NA,6111900,2938100,23872000,3403400,4832900,5865700,10048000,3855400,2301100,5473400,2339100,11075000,1965400,11239000,8065800,3420000
BCS1,BCS1L,1574700,940090,3416300,1239300,3935600,3276900,3016600,2312200,8820300,1386200,417100,4714400,2589000,4034900,1008000,3043600,3395000,2508800
LMAN2,LMAN2,31930000,24989000,75515000,34759000,77078000,49091000,46372000,61871000,100540000,23443000,7990200,65295000,44116000,82636000,11746000,97917000,45033000,28555000
LXN,LXN,314770,25226000,36052000,39347000,1858400,39499000,58308000,89459000,52544000,16140000,15807000,38696000,45823000,35813000,18367000,38415000,40300000,28743000
RFIP1,RAB11FIP1,10355000,9715700,7020200,7680300,44636000,10487000,6646200,4121900,8464300,8119700,3114800,23830000,14510000,36533000,11743000,8044800,17415000,17445000
BAG1,BAG1,3504900,1652100,6819200,1278900,1938200,2148400,4556600,4398600,4454500,1978800,1277900,1330700,3537100,1562000,917160,4906800,3291800,2769300
ATP5H,ATP5PD,40617000,33284000,224230000,43674000,127520000,71486000,87841000,36904000,182900000,51364000,19713000,74685000,63525000,108600000,23334000,190710000,98276000,59491000
PCY2,PCYT2,402550,103620,7832800,1804500,10238000,5760800,15751000,5347500,8530600,3209900,NA,8426600,3057300,6442200,1370500,11784000,5553200,5500600
SIR5,SIRT5,664730,375280,1506700,648110,3264700,1233900,1302200,1657100,2856300,437880,258320,1547100,1196600,1518300,425900,1484200,2200900,1315200
QCR2,UQCRC2,59575000,61801000,133100000,35959000,179010000,112230000,111890000,142940000,179140000,53876000,23045000,134540000,78671000,157880000,26992000,182950000,85164000,83086000
S10AG,S100A16,6868300,NA,20325000,5151900,90854000,4306900,4875100,10151000,9270000,2602500,1459600,NA,1930900,8701300,1084100,4736900,2505800,1689700
VMP1,VMP1,6828300,1576300,16076000,4851000,49639000,7486800,16204000,16384000,31660000,1729400,515720,1176300,2674800,3618300,738480,12492000,3948600,1822800
RB11B,RAB11B,12961000,15084000,49571000,17632000,65091000,42926000,38050000,32979000,46783000,15102000,5632200,25244000,25117000,25173000,8457500,42708000,32370000,22528000
NIT1,NIT1,10311000,4868000,20274000,7443800,24278000,12337000,17594000,17006000,28382000,5732300,2038700,26413000,16396000,14100000,3716700,15692000,14757000,17408000
C1R,C1R,23443000,34857000,37089000,23146000,34848000,36734000,36000000,77871000,54108000,33992000,35539000,19725000,44664000,26445000,28697000,46390000,29007000,27706000
MASP2,MASP2,422100,705290,242830,123580,51795,783520,390140,473070,271270,2489000,1353300,4182500,1871000,2009000,2153100,902170,2889700,2285800
TP8L2,TNFAIP8L2,2870800,1201600,2196200,1365000,4392300,2349500,3638600,4589700,8193500,6017800,1519800,8234100,5224300,4897500,1332600,4375500,7303300,8395700
HIKES,HIKESHI,1018300,326940,1997000,339110,4203100,1179800,893950,1996000,2305100,368230,NA,1557000,1169600,1861100,325980,1575100,2052100,1142000
