logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,protein
-1.1912871932238325,23.944659833802824,-2.9933642504648774,0.005616994966647979,0.25384708525781235,-2.24111543456143,MMP2,11,-3.102822968794319,0.004068186780851369,0.21401346155394854,MMP2
-1.2295087466649512,21.581839539782873,-3.0876797043762547,0.0044358679100389995,0.2174136778186203,-2.0340468247150723,BRX1,3,-3.083146668289227,0.0042788154874108695,0.21401346155394854,BRIX1
-1.4906593288364363,24.33730717358627,-2.9826091236862653,0.005769251937677553,0.25384708525781235,-2.264531320629444,TSP1,8,-3.0813716733002967,0.004298317852924848,0.21401346155394854,THBS1
2.253587976651449,20.311347427815296,3.0824123740272213,0.004495057376838634,0.2175607770389899,-2.0456909488943418,HV309,1,3.068105175167492,0.004446779015670743,0.21401346155394854,IGHV3-9
-2.630223134344245,21.704816076111477,-3.0443363273824913,0.004945853305249606,0.23072703611959608,-2.129585943248891,TNPO2,1,-3.065380446063566,0.004477867740508487,0.21401346155394854,TNPO2
1.4573754803507448,19.614672483933163,3.330481841863153,0.0024588523892005404,0.18621265203817344,-1.4956450292540646,AUHM,1,3.0625874030143274,0.004601893212646397,0.21401346155394854,AUH
1.6411538292100296,22.419105745699433,3.190878677468389,0.0034157874514868553,0.20125818328492134,-1.8041003400292004,F16P2,1,3.05330571499349,0.004618139756513718,0.21401346155394854,FBP2
-1.4988827775669122,23.030350207817936,-3.016240466783635,0.005305732966194308,0.24456902434648048,-2.1911733512531697,GSH0,3,-3.0527858312814833,0.004624271947467141,0.21401346155394854,GCLM
-1.1116650547450462,23.15657595976421,-3.0760222992182213,0.004567873998085522,0.2183556558097178,-2.0598046377655432,KPCA,3,-3.0473083389465274,0.004689352138325436,0.21401346155394854,PRKCA
-1.2160899502576612,23.343159533642055,-2.9451246304244094,0.006331072053185699,0.25751059601884657,-2.3458159932882627,SPON1,9,-3.043312513660146,0.004737375412330657,0.21401346155394854,SPON1
-1.4541039081394125,27.019743203490886,-2.934095122513601,0.006506008854390049,0.25751059601884657,-2.369635540257807,NDRG1,11,-3.0428170631716513,0.004743362330983858,0.21401346155394854,NDRG1
-1.5686365988057709,22.407159046448484,-2.969461330700894,0.00596070162512158,0.2553883445708181,-2.2931001558610524,CBR3,4,-3.0371920117198132,0.004811839593747171,0.21401346155394854,CBR3
-1.0430604062219508,26.00746317251386,-2.965221049589177,0.006023719825414717,0.2553883445708181,-2.302300558868043,CNN2,7,-3.0366251043453283,0.004818792692415015,0.21401346155394854,CNN2
-1.1387562837220386,23.35150433111712,-2.9574960775068275,0.006140153168655451,0.2556416459035904,-2.3190451382188284,QSOX1,7,-3.0353803203444625,0.004834093375410227,0.21401346155394854,QSOX1
-1.6424454001701285,25.53329300525244,-2.962259252365429,0.00606811149290167,0.2553883445708181,-2.308723088381286,ELNE,4,-3.03388023449157,0.00485259341552561,0.21401346155394854,ELANE
-1.4867204177209494,22.43189342450022,-3.068613665501583,0.004653704348737602,0.21974564924770726,-2.076150895821201,GAMT,2,-3.0301542414187814,0.0048988357555668,0.21401346155394854,GAMT
-1.5496149779122703,20.03568529423977,-3.189186587096043,0.0034305372150838865,0.20125818328492134,-1.807897678711095,TSN14,1,-3.024471997697222,0.004970161938283554,0.21401346155394854,TSPAN14
-1.2812345491271273,25.782483974201146,-3.1187187904508376,0.004101892569996469,0.21457148486548475,-1.9652451242999325,ABRAL,2,-3.0240661735732486,0.004975293523708782,0.21401346155394854,ABRACL
-1.2468192301403995,21.31229956813236,-3.113497591623389,0.004156340601103991,0.21457148486548475,-1.9768405551032933,TP53B,2,-3.0089808980038604,0.005169646972578255,0.21401346155394854,TP53BP1
-1.3738661371088483,22.019911330186584,-2.9369511667112778,0.006460275832562582,0.25751059601884657,-2.363471882444624,MSH2,5,-3.0088586885145867,0.005171250460578919,0.21401346155394854,MSH2
-1.212843526552355,21.717026668270666,-3.1243084670638637,0.004044356924680415,0.21457148486548475,-1.952821573809537,PLBL2,2,-3.0066228654637728,0.0052006695661603085,0.21401346155394854,PLBD2
-1.1578736745957912,27.858491083997087,-2.8829075652764926,0.007379438084050578,0.2655626621487212,-2.4795854456459647,SERPH,16,-3.0038839475544785,0.005236924488378545,0.21401346155394854,SERPINH1
-1.5583733993266158,22.556250129626154,-2.9106587743099617,0.006893028856304536,0.25751059601884657,-2.420099007800359,CNOT1,7,-3.0034788140279174,0.005242307499927971,0.21401346155394854,CNOT1
-1.477860033463081,25.32372252208944,-2.963226966793338,0.006053573317388557,0.2553883445708181,-2.3066249917357147,CALL3,3,-2.9996599296331175,0.005293307179545418,0.21401346155394854,CALML3
-1.576665304678368,19.640232016648497,-3.1463658496942153,0.003824749204959451,0.21156327030861422,-1.9036991121486224,LAT1,1,-2.9987060585153054,0.005306118881502856,0.21401346155394854,SLC7A5
-1.0890058542120187,22.78990340727955,-2.913811458343587,0.006839727761116973,0.25751059601884657,-2.4133225776299514,ITA6,7,-2.988505728133953,0.0054449703474498045,0.2166848978069773,ITGA6
1.9050486125318784,22.858570508498136,2.9264355695792332,0.006764149058596349,0.25751059601884657,-2.3922498548605704,NMES1,3,2.993100858303275,0.005484276855651802,0.2166848978069773,NMES1
